SKU,Stock,Regular price,UPC
B09YLTJB7L,5,111.99,850041700014
B09MJWFL31,5,95.99,
B08PVTKN4M,10,9.27,677998313636
B08PNQW3RP,10,23.19,789605420764
B096WPL47Q,10,10.38,816325015175
B07YN8GL9T,5,118.4,58465812164
B09JG8WR41,0,0,
B09JG89W4S,10,19.59,757837822083
B09JG9HL6F,10,19.59,757837822106
B08VS8T7MR,0,0,
B09LM1H5N9,0,0,
B082C9ML88,5,95.99,850014439026
B09VP6WJJQ,0,0,
B09TQKFQMG,5,111.99,768470415945
B095WPQDGD,5,95.99,764710581685
B09TQLQ71H,5,111.99,768470415952
B098LH9VBT,0,0,
B092LMCZ3D,0,0,
B092LH6Z28,10,15.18,850009354280
B07X5VTGHT,10,12.78,644730790994
B09KPC4HNK,0,0,
B077BPDF8S,5,95.99,854115007382
B09BVKDQMB,0,0,
B095M5PJHS,5,114.66,
B08P5XQQMJ,0,0,
B07LHDCDCD,0,0,
B07LH9LXRS,5,95.99,843342143253
B07XV2VPD9,5,87.99,843342185376
B07RDMLF5J,5,95.99,843342161806
B07LHBRG6C,0,0,843342143246
B08N5HVL29,5,95.99,840133929287
B09NP5WPTB,0,0,
B09YRM17ZL,10,13.59,735940312004
B09SL1JM9H,5,7.99,735940311694
B071S882FS,0,0,753677310810
B07289SPTP,5,116.34,753677310797
B0714CPF1S,0,0,753677310803
B01MA5KRGN,0,0,753677310766
B01M3QINCM,10,54.69,753677310742
B071VT13HV,5,96.55,753677310780
B01M9CQVOB,0,23.38,753677310759
B0711SQ42K,0,0,753677310827
B00I0BVP9Q,0,40.99,753677310056
B00I0BS5JY,10,15.57,753677310049
B07X7D3BC9,10,23.98,793610685704
B0995JS7K9,0,0,
B07P4D9K39,10,64.76,850970008083
B09QPN578G,0,0,
B09MQDXP86,10,23.99,797505914962
B09N72XPK3,0,0,
B01CW4ASS0,10,39.99,
B00O8NVPBI,10,31.99,19962005008
B07X134Z5Y,10,63.19,882807401866
B09ZPFB5L4,0,0,
B07B9WNBBT,10,31.99,
B08T2GVF6G,0,0,
B07GB2T125,10,25.58,652054129246
B08YGH3S12,0,0,
B01CW4BZQO,10,62.39,
B01N4C1OQN,10,47.99,602105019804
B01CW4BVU4,0,0,
B0035PQGKU,10,39.91,12301807356
B07DFFX34P,10,31.99,848061055597
B0B4WM5CB8,0,0,
B07YD4XHFC,10,71.99,673869935051
B09HSKJ2YS,0,0,
B01GXQMP66,10,24.79,741498317088
B07R3WY95C,10,63.98,848061058437
B07VNKQR15,0,0,767311992676
B08LGV7NPP,0,0,
B07NRTV8PF,10,25.55,710917966237
B09HYVTB87,0,0,
B0716T7XVQ,10,31.19,709311396085
B000CIPHUI,5,167.96,734357214819
B012T634SM,10,29.59,856915005155
B07RQVL8D5,0,49.99,50875820098
B009NIRA1M,10,27.6,50875807501
B00EI7DPI0,10,60.62,40094920648
B0BCL798D9,0,0,
B0B86T4QW1,5,92.25,
B0B9B3RFD2,0,0,
B09P12KZ3P,0,0,
B003ZDNILM,0,48.77,34264428676
B01N9C9QR1,10,31.99,50875819061
B07RJB3SR8,0,0,
B08YFGLZM1,0,0,
B0B494MH6T,10,72.05,
B094HP799G,0,0,
B08R463RVT,10,69.59,84691857945
B0019MLLCO,10,47.74,34264415652
B07CDQNRGX,0,0,
B08GG8Z1NV,10,48.9,94046803138
B07CTBHQZK,10,42.39,818049020817
B00939FV8K,5,88.8,622356532099
B09XF6N9HY,10,39.99,
B09MQM3GQN,10,29.6,752730004956
B073D8W6J6,10,55.99,50875820128
B07KGD6FV5,0,0,
B0081PTLGU,10,56.3,13219003335
B002DYIZHG,10,29.2,742128584191
B0855BL69Y,0,94.5,705016353446
B09W48D9LX,0,0,
B099J4JWFQ,0,44.99,705016356201
B01LTHKZF2,10,47.99,14347082315
B099J2SWXV,0,44.99,705016358205
B006OC444Q,10,35.99,689978791938
B099HXNRKK,0,39.99,
B0B1PQNC12,0,0,
B0855PRCBV,0,0,
B00HJR6SNK,10,47.59,616312824113
B092TNCKQB,0,0,
B00EACZ2SE,0,107.26,705016560035
B00EACSHF4,0,65.94,705016560080
B08DBTH6CK,0,0,
B002SG7NDQ,0,41.02,705016224463
B009M3RR02,0,89.95,705016226122
B007L4QMGO,0,67.44,705016226146
B005UO5D12,0,43.64,705016226085
B00JXP38MU,0,97.95,616312824205
B06XKW15XQ,0,0,
B09KTL6MQK,0,0,
B07BB9ZQDY,0,89.99,40094338665
B09XRKFQY7,0,0,
B0B6V4Y8C3,0,0,
B08X1NWN33,10,63.99,40094338696
B0B6V3R6DL,0,0,
B00004X12T,10,31.99,40094742509
B005EPRF1I,0,99.99,40094298822
B0863H2P5D,0,0,
B004DPHKBA,10,76.79,34264440203
B07C8V4FDR,0,125.99,86279171801
B09S444N2N,0,0,
B09RYYGJXR,0,0,717056129882
B0839PKH18,5,95.98,880260909998
B07684XDM9,5,95.99,40094298853
B07Y4RT82R,0,0,
B07VCFD13V,10,58.25,
B09CQ62DH2,0,0,
B08SJTRDLS,0,0,850014439538
B07D82LJ4Q,5,103.2,72244474138
B0B9TNWWMP,0,0,
B081NLFM91,0,0,817915029664
B08NNL7762,0,0,
B08NMZBNN4,10,79.1,810051852295
B08NMXWLXR,0,69.99,810051852288
